Fecha, Hora entrada, Hora salida 
25/2/2018,13:15:22, 13:15:22
03/05/2018,8:55:00, , 
03/05/2018,14:17:30, , 
09/05/2018,8:45:00, , 
09/05/2018, , 14:02:22
10/05/2018, , 12:20:00
10/05/2018,09:25:11, , 
10/05/2018,09:28:35, , 
10/05/2018,09:34:13, , 
10/05/2018,09:35:45, , 
10/05/2018,09:44:58, , 
14/05/2018,10:21:31, , 
14/05/2018,10:25:20, , 
14/05/2018,10:26:22, , 
14/05/2018,10:31:58, , 
14/05/2018,10:33:11, , 
15/05/2018,09:17:43, , 
15/05/2018,09:35:26, , 
15/05/2018,09:51:01, , 
15/05/2018,09:51:32, , 
15/05/2018,09:52:36, , 
15/05/2018,10:04:46, , 
15/05/2018,10:07:34, , 
15/05/2018,10:08:32, , 
15/05/2018,10:14:36, , 
15/05/2018,10:29:32, , 
15/05/2018,10:30:25, , 
15/05/2018, , 10:32:27
15/05/2018,10:40:53, , 
15/05/2018,11:33:02, , 
15/05/2018,11:38:02, , 
15/05/2018,11:43:22, , 
15/05/2018,11:44:55, , 
15/05/2018,11:46:02, , 
15/05/2018,11:47:43, , 
15/05/2018,11:49:28, , 
15/05/2018,11:54:55, , 
15/05/2018,11:59:42, , 
15/05/2018, , 12:07:08
15/05/2018, , 12:53:25
16/05/2018, , 14:10:53
23/05/2018,09:00:28, , 
23/05/2018,09:03:39, , 
23/05/2018,09:05:14, , 
